

14:33:39    IFACE    Ipkts/s      Ibytes/s     Opkts/s      Obytes/s
14:36:59    gif0           0             0           0             0
14:36:59    stf0           0             0           0             0
14:36:59    en0           83         19812          13          2974
14:36:59    en1            0             0           0             0
14:36:59    en2            0             0           0             0
14:36:59    p2p0           0             0           0             0
14:36:59    awdl0          0             0           0             0
14:36:59    bridge0        0             0           0             0

14:37:09    lo0            0             0           0             0
14:37:09    gif0           0             0           0             0
14:37:09    stf0           0             0           0             0
14:37:09    en0           54         13815          13          4046
14:37:09    en1            0             0           0             0
14:37:09    en2            0             0           0             0
14:37:09    p2p0           0             0           0             0
14:37:09    awdl0          0             0           0             0
14:37:09    bridge0        0             0           0             0

14:37:19    lo0            0             0           0             0
14:37:19    gif0           0             0           0             0
14:37:19    stf0           0             0           0             0
14:37:19    en0           33          6138           6          1347
14:37:19    en1            0             0           0             0
14:37:19    en2            0             0           0             0
14:37:19    p2p0           0             0           0             0
14:37:19    awdl0          0             0           0             0
14:37:19    bridge0        0             0           0             0

14:37:29    lo0            0             0           0             0
14:37:29    gif0           0             0           0             0
14:37:29    stf0           0             0           0             0
14:37:29    en0           35          7730           7          1262
14:37:29    en1            0             0           0             0
14:37:29    en2            0             0           0             0
14:37:29    p2p0           0             0           0             0
14:37:29    awdl0          0             0           0             0
14:37:29    bridge0        0             0           0             0

14:37:39    lo0            0             0           0             0
14:37:39    gif0           0             0           0             0
14:37:39    stf0           0             0           0             0
14:37:39    en0           50         10138           2           608
14:37:39    en1            0             0           0             0
14:37:39    en2            0             0           0             0
14:37:39    p2p0           0             0           0             0
14:37:39    awdl0          0             0           0             0
14:37:39    bridge0        0             0           0             0

14:37:49    lo0            0             0           0             0
14:37:49    gif0           0             0           0             0
14:37:49    stf0           0             0           0             0
14:37:49    en0           49          9785           4           634
14:37:49    en1            0             0           0             0
14:37:49    en2            0             0           0             0
14:37:49    p2p0           0             0           0             0
14:37:49    awdl0          0             0           0             0
14:37:49    bridge0        0             0           0             0

14:37:59    lo0            0             0           0             0
14:37:59    gif0           0             0           0             0
14:37:59    stf0           0             0           0             0
14:37:59    en0           56         14046           6          1235
14:37:59    en1            0             0           0             0
14:37:59    en2            0             0           0             0
14:37:59    p2p0           0             0           0             0
14:37:59    awdl0          0             0           0             0
14:37:59    bridge0        0             0           0             0

14:38:09    lo0            0             0           0             0
14:38:09    gif0           0             0           0             0
14:38:09    stf0           0             0           0             0
14:38:09    en0           14          4575           9          1313
14:38:09    en1            0             0           0             0
14:38:09    en2            0             0           0             0
14:38:09    p2p0           0             0           0             0
14:38:09    awdl0          0             0           0             0
14:38:09    bridge0        0             0           0             0

14:38:19    lo0            0             0           0             0
14:38:19    gif0           0             0           0             0
14:38:19    stf0           0             0           0             0
14:38:19    en0           40          8792           4           633
14:38:19    en1            0             0           0             0
14:38:19    en2            0             0           0             0
14:38:19    p2p0           0             0           0             0
14:38:19    awdl0          0             0           0             0
14:38:19    bridge0        0             0           0             0

14:38:29    lo0            0             0           0             0
14:38:29    gif0           0             0           0             0
14:38:29    stf0           0             0           0             0
14:38:29    en0           76         16715           8          1845
14:38:29    en1            0             0           0             0
14:38:29    en2            0             0           0             0
14:38:29    p2p0           0             0           0             0
14:38:29    awdl0          0             0           0             0
14:38:29    bridge0        0             0           0             0

14:38:39    lo0            0             0           0             0
14:38:39    gif0           0             0           0             0
14:38:39    stf0           0             0           0             0
14:38:39    en0           47         12499           4           671
14:38:39    en1            0             0           0             0
14:38:39    en2            0             0           0             0
14:38:39    p2p0           0             0           0             0
14:38:39    awdl0          0             0           0             0
14:38:39    bridge0        0             0           0             0

14:38:49    lo0            0             0           0             0
14:38:49    gif0           0             0           0             0
14:38:49    stf0           0             0           0             0
14:38:49    en0           45         11291           4           663
14:38:49    en1            0             0           0             0
14:38:49    en2            0             0           0             0
14:38:49    p2p0           0             0           0             0
14:38:49    awdl0          0             0           0             0
14:38:49    bridge0        0             0           0             0

